# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-31-07.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:31:09.379516+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:31:10.351116+02:00,0.858,100.0,0,1394,161.0,43.46,372.0,211.0,120.0,32.51,363.0,243.0
2026-07-20T14:31:10.373406+02:00,0.880,100.0,0,1416,160.0,44.06,371.0,211.0,121.0,33.12,364.0,243.0
2026-07-20T14:31:10.395062+02:00,0.902,100.0,0,1438,162.0,43.95,373.0,211.0,121.0,32.88,364.0,243.0
2026-07-20T14:31:10.417567+02:00,0.925,100.0,0,1460,164.0,43.11,374.0,210.0,122.0,32.27,365.0,243.0
2026-07-20T14:31:10.439186+02:00,0.946,100.0,0,1482,160.0,42.29,371.0,211.0,120.0,31.65,364.0,244.0
2026-07-20T14:31:10.461615+02:00,0.969,100.0,0,1504,161.0,43.24,371.0,210.0,121.0,32.29,364.0,243.0
2026-07-20T14:31:10.483084+02:00,0.990,100.0,0,1526,164.0,42.36,374.0,210.0,122.0,31.64,365.0,243.0
2026-07-20T14:31:10.505690+02:00,1.013,100.0,0,1548,162.0,42.84,372.0,210.0,120.0,31.96,364.0,244.0
2026-07-20T14:31:10.527139+02:00,1.034,100.0,0,1570,160.0,43.84,370.0,210.0,120.0,32.86,363.0,243.0
2026-07-20T14:31:10.549864+02:00,1.057,100.0,0,1592,160.0,43.72,371.0,211.0,120.0,32.56,364.0,244.0
2026-07-20T14:31:10.571119+02:00,1.078,100.0,0,1614,159.0,43.0,371.0,212.0,118.0,32.13,362.0,244.0
2026-07-20T14:31:10.593809+02:00,1.101,100.0,0,1636,161.0,45.08,372.0,211.0,120.0,33.75,364.0,244.0
2026-07-20T14:31:10.615242+02:00,1.122,100.0,0,1658,161.0,43.85,371.0,210.0,122.0,32.92,364.0,242.0
2026-07-20T14:31:10.637722+02:00,1.145,100.0,0,1680,158.0,42.14,369.0,211.0,120.0,31.49,363.0,243.0
2026-07-20T14:31:10.659223+02:00,1.166,100.0,0,1702,162.0,42.75,373.0,211.0,121.0,31.96,364.0,243.0
2026-07-20T14:31:10.681809+02:00,1.189,100.0,0,1724,161.0,43.21,371.0,210.0,122.0,32.36,364.0,242.0
2026-07-20T14:31:10.703288+02:00,1.210,100.0,0,1746,161.0,41.7,371.0,210.0,122.0,31.13,364.0,242.0
2026-07-20T14:31:10.725870+02:00,1.233,100.0,0,1768,160.0,43.03,371.0,211.0,119.0,32.11,362.0,243.0
2026-07-20T14:31:10.747444+02:00,1.254,100.0,0,1790,162.0,43.6,373.0,211.0,122.0,32.69,365.0,243.0
2026-07-20T14:31:10.769729+02:00,1.277,100.0,0,1812,161.0,43.48,371.0,210.0,121.0,32.38,364.0,243.0
2026-07-20T14:31:10.792395+02:00,1.299,100.0,0,1835,159.0,42.48,370.0,211.0,119.0,31.66,363.0,244.0
2026-07-20T14:31:10.815001+02:00,1.322,100.0,0,1857,161.0,42.56,372.0,211.0,121.0,31.91,364.0,243.0
2026-07-20T14:31:10.837467+02:00,1.344,100.0,0,1880,162.0,42.93,371.0,209.0,123.0,32.19,364.0,241.0
2026-07-20T14:31:10.858784+02:00,1.366,100.0,0,1902,159.0,42.04,370.0,211.0,119.0,31.4,363.0,244.0
2026-07-20T14:31:10.881668+02:00,1.389,100.0,0,1924,160.0,42.41,371.0,211.0,119.0,31.71,362.0,243.0
2026-07-20T14:31:10.903012+02:00,1.410,100.0,0,1946,160.0,41.19,371.0,211.0,120.0,30.87,363.0,243.0
2026-07-20T14:31:10.925446+02:00,1.432,100.0,0,1968,160.0,42.52,371.0,211.0,121.0,31.88,364.0,243.0
2026-07-20T14:31:10.947040+02:00,1.454,100.0,0,1990,160.0,43.31,371.0,211.0,120.0,32.36,363.0,243.0
2026-07-20T14:31:10.969482+02:00,1.476,100.0,0,2012,160.0,43.39,371.0,211.0,119.0,32.51,362.0,243.0
2026-07-20T14:31:10.991225+02:00,1.498,100.0,0,2034,161.0,43.47,372.0,211.0,121.0,32.51,364.0,243.0
2026-07-20T14:31:11.013725+02:00,1.521,100.0,0,2056,160.0,43.59,372.0,212.0,120.0,32.72,364.0,244.0
2026-07-20T14:31:11.035183+02:00,1.542,100.0,0,2078,160.0,43.19,371.0,211.0,119.0,32.33,363.0,244.0
2026-07-20T14:31:11.057640+02:00,1.565,100.0,0,2100,160.0,42.5,371.0,211.0,119.0,31.73,362.0,243.0
2026-07-20T14:31:11.079267+02:00,1.586,100.0,0,2122,158.0,41.99,370.0,212.0,120.0,31.41,363.0,243.0
2026-07-20T14:31:11.101866+02:00,1.609,100.0,0,2144,158.0,42.36,370.0,212.0,119.0,31.76,363.0,244.0
2026-07-20T14:31:11.123217+02:00,1.630,100.0,0,2166,160.0,41.51,371.0,211.0,120.0,30.94,363.0,243.0
2026-07-20T14:31:11.145853+02:00,1.653,100.0,0,2188,161.0,42.49,371.0,210.0,119.0,31.69,362.0,243.0
2026-07-20T14:31:11.167132+02:00,1.674,100.0,0,2210,158.0,43.15,370.0,212.0,119.0,32.44,363.0,244.0
2026-07-20T14:31:11.189800+02:00,1.697,100.0,0,2232,160.0,43.58,370.0,210.0,120.0,32.61,363.0,243.0
2026-07-20T14:31:11.211361+02:00,1.718,100.0,0,2254,158.0,42.96,368.0,210.0,118.0,32.13,361.0,243.0
2026-07-20T14:31:11.233716+02:00,1.741,100.0,0,2276,157.0,43.6,370.0,213.0,117.0,32.65,362.0,245.0
2026-07-20T14:31:11.255368+02:00,1.762,100.0,0,2298,159.0,43.07,371.0,212.0,120.0,32.31,364.0,244.0
2026-07-20T14:31:11.277651+02:00,1.785,100.0,0,2320,159.0,42.15,369.0,210.0,119.0,31.58,362.0,243.0
2026-07-20T14:31:11.299203+02:00,1.806,100.0,0,2342,159.0,42.17,370.0,211.0,119.0,31.52,362.0,243.0
2026-07-20T14:31:11.321679+02:00,1.829,100.0,0,2364,157.0,42.44,370.0,213.0,118.0,31.77,363.0,245.0
2026-07-20T14:31:11.343224+02:00,1.850,100.0,0,2386,157.0,40.66,370.0,213.0,118.0,30.46,363.0,245.0
2026-07-20T14:31:11.365682+02:00,1.873,100.0,0,2408,159.0,42.0,370.0,211.0,119.0,31.44,363.0,244.0
2026-07-20T14:31:11.387302+02:00,1.894,100.0,0,2430,159.0,42.83,370.0,211.0,118.0,32.01,362.0,244.0
2026-07-20T14:31:11.409763+02:00,1.917,100.0,0,2452,158.0,42.57,370.0,212.0,119.0,31.86,363.0,244.0
2026-07-20T14:31:11.432290+02:00,1.939,100.0,0,2475,157.0,42.03,369.0,212.0,119.0,31.53,363.0,244.0
2026-07-20T14:31:11.454656+02:00,1.962,100.0,0,2497,158.0,41.77,369.0,211.0,117.0,31.22,361.0,244.0
2026-07-20T14:31:11.477201+02:00,1.984,100.0,0,2520,160.0,42.3,371.0,211.0,119.0,31.67,363.0,244.0
2026-07-20T14:31:11.498723+02:00,2.006,100.0,0,2542,157.0,41.83,370.0,213.0,118.0,31.25,363.0,245.0
2026-07-20T14:31:11.521347+02:00,2.028,100.0,0,2564,158.0,41.97,369.0,211.0,118.0,31.42,362.0,244.0
2026-07-20T14:31:11.542899+02:00,2.050,100.0,0,2586,157.0,41.41,369.0,212.0,116.0,30.86,361.0,245.0
2026-07-20T14:31:11.565382+02:00,2.072,100.0,0,2608,158.0,42.08,370.0,212.0,119.0,31.64,363.0,244.0
2026-07-20T14:31:11.586921+02:00,2.094,100.0,0,2630,158.0,42.98,371.0,213.0,119.0,32.21,364.0,245.0
2026-07-20T14:31:11.609467+02:00,2.116,100.0,0,2652,156.0,42.68,368.0,212.0,116.0,31.93,361.0,245.0
2026-07-20T14:31:11.630926+02:00,2.138,100.0,0,2674,159.0,43.18,370.0,211.0,119.0,32.34,362.0,243.0
2026-07-20T14:31:11.653495+02:00,2.160,100.0,0,2696,158.0,43.41,372.0,214.0,118.0,32.56,363.0,245.0
2026-07-20T14:31:11.674972+02:00,2.182,100.0,0,2718,155.0,42.73,369.0,214.0,117.0,31.97,362.0,245.0
2026-07-20T14:31:11.697586+02:00,2.205,100.0,0,2740,157.0,41.91,369.0,212.0,117.0,31.33,361.0,244.0
2026-07-20T14:31:11.719128+02:00,2.226,100.0,0,2762,159.0,41.98,371.0,212.0,118.0,31.42,362.0,244.0
2026-07-20T14:31:11.741733+02:00,2.249,100.0,0,2784,154.0,41.47,368.0,214.0,117.0,31.2,362.0,245.0
2026-07-20T14:31:11.763172+02:00,2.270,100.0,0,2806,157.0,40.79,369.0,212.0,117.0,30.42,361.0,244.0
2026-07-20T14:31:11.785726+02:00,2.293,100.0,0,2828,156.0,42.05,369.0,213.0,117.0,31.49,361.0,244.0
